Code,Site,Latitude,Longititude,TNPP_Original,ANPP_Original,BNPP_Original,Unit,TNPP_unit_unified,ANPP_unit_unified,BNPP_unit_unified,Source,fBNPP,Biome type,Soil order,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,CFRAG,SDTO,STPC,CLPC,BULK,TAWC,ORGC,TOTN,CNrt,PHAQ,CECS,ECEC,CECc,TEB,BSAT,ESP,ALSA,TCEQ,GYPS,ELCO,Aspect,fm,fr1000,fr300,mrRTF,mrVBF,PI,planC,profileC,SD,SP,TPI,TWI,MNPP
673,-,76,96,112,47,65,g/m2/yr,0.112,0.047,0.065,ORNL: NPP_BAZ_575,58.0357143,7,Water,-15.3083334,6.116666794,14.81033134,1378.77063,6.300000191,-35,41.29999924,1.650000095,-28.14999962,2,-30.35000038,214,32,11,38.27788162,86,37,78,39,31,60,27,13,1.21,22,24.57,2.62,15,7.2,33,23,50,26,79,2,2,51,19,1,260.5803424,2.925743648,15.62667022,4.378267837,4.952946663,0.454292983,1.050332998,0.000088,0.000147,48.71816254,2.898981291,0.325953913,9.274917924,0.748000026
674,-,73,100,272,112,160,g/m2/yr,0.272,0.112,0.16,ORNL: NPP_BAZ_575,58.8235294,7,Gelisols,-14.08749962,7.541666508,14.93399334,1599.28125,13.39999962,-37.09999847,50.5,5.666666508,-31.61666679,6.583333492,-31.61666679,277,39,12,35.47499084,106,44,98,44,42,69,21,10,1.38,22,6.05,0.74,16,7.7,33,23,54,25,77,2,0,79,29,1,281.4652154,5.321285405,27.16580904,9.971489211,0.458826244,0.399294615,0.862969609,0.000067,0.000259,56.43914795,5.321285405,0.585328405,7.746756659,1.335000038
675,-,69,62,178,87,91,g/m2/yr,0.178,0.087,0.091,ORNL: NPP_BAZ_575,51.1235955,7,Spodosols,-7.291666508,7.333333492,18.56540108,1092.188843,14.10000038,-25.39999962,39.5,6.716666698,-10.91666698,6.716666698,-19.75,477,55,25,26.76217651,161,83,161,104,30,58,28,14,1.19,22,27.52,2.93,15,7.2,33,24,50,27,79,2,2,47,18,1,235.8153057,2.676910879,25.73562117,6.970135802,0.796289802,1.100625515,1.063742362,0.000076,0.000009,76.07859802,2.676910879,0.462093767,10.04097554,1.546000004
676,-,66,173,298,64,234,g/m2/yr,0.298,0.064,0.234,ORNL: NPP_BAZ_575,78.5234899,7,Gelisols,-9.762499809,10.54166698,21.16800499,1522.233887,19,-30.79999924,49.79999924,8.033333778,-14.25,10.46666718,-25.75,308,54,12,52.01889801,134,41,133,55,24,31,57,12,0.96,22,129.47,4.75,24,6.1,44,30,73,31,72,2,0,0,29,1,117.167858,2.668425155,35.73361977,8.043105326,0.129488736,1.69294095,0.660579396,-0.000074,-0.000081,86.84922791,2.621524655,-0.838245541,9.571112896,2.052999973
677,-,64,169,150,59,91,g/m2/yr,0.15,0.059,0.091,ORNL: NPP_BAZ_575,60.6666667,7,Gelisols,-9.600000381,9.766666412,19.77058029,1539.248657,18.39999962,-31,49.40000153,8.216666222,-13,10.51666641,-26.16666603,397,64,17,42.74617767,160,56,151,76,41,68,22,10,1.35,22,9,1.04,16,7.7,33,23,54,25,78,2,0,75,27,1,333.2538691,8.064868781,98.41889652,24.19113764,0.292616308,0.037932985,1.02416187,0.000556,-0.000312,79.54389191,7.83122222,-0.516377628,7.556796704,1.447000027
678,-,68,33,88,40,48,g/m2/yr,0.088,0.04,0.048,ORNL: NPP_BAZ_575,54.5454545,6,Spodosols,-0.733333349,6.816666603,18.67579842,970.5441895,17.89999962,-18.60000038,36.5,10.38333321,-11.35000038,11.46666718,-12.51666641,471,67,19,41.20882034,185,68,183,72,16,27,55,18,0.16,45,467.57,16.11,29,4.4,96,28,57,21,27,1,6,0,0,1,103.6658345,0.901829342,8.87296807,2.545525333,5.378568172,5.181317329,1.208143091,-0.000014,0.000026,77.07650757,0.901829342,0.68530175,10.18797759,2.494999886
681,-,68,34,152,119,33,g/m2/yr,0.152,0.119,0.033,ORNL: NPP_BAZ_575,21.7105263,6,Spodosols,-1.60833323,7.216666698,20.79730988,933.1077881,16.70000076,-18,34.70000076,10.33333302,-11.73333359,10.33333302,-12.69999981,523,70,23,36.56278992,194,78,194,87,36,71,20,9,0.96,25,94.36,3.45,20,4.9,28,12,72,12,34,2,29,0,0,0,113.3982203,1.35314647,15.83792154,4.485951659,0.42269364,3.633755922,1.249679257,0.000164,0.000041,77.69660187,1.60503795,0.304945093,8.356301317,3.502000093
682,-,67,51,210,144,66,g/m2/yr,0.21,0.144,0.066,ORNL: NPP_BAZ_575,31.4285714,7,Spodosols,-3.054166794,9.008333206,21.14632225,1117.081177,19.60000038,-23,42.59999847,9.899999619,-11.21666718,11.0666666,-16.66666603,477,64,24,33.97325134,176,74,167,86,38,76,18,6,1.06,23,49.64,2.41,20,4.9,20,10,74,5,31,2,32,0,0,0,269.1995397,0.784522837,3,2.181907039,1.759290934,5.774459839,1.054651352,0.000087,0.000014,80.69898224,0.784522837,0.271565369,14.01999503,2.203000069
683,-,65,69,209,119,90,g/m2/yr,0.209,0.119,0.09,ORNL: NPP_BAZ_575,43.062201,6,Gelisols,-4.779166698,9.658333778,19.59094048,1390.644775,21.5,-27.79999924,49.29999924,12.85000038,-19.51666641,12.85000038,-21.60000038,486,71,20,42.04487991,188,66,188,74,16,27,55,18,0.16,45,467.57,16.11,29,4.4,96,28,57,21,27,1,6,0,0,1,282.0985095,0.600287125,6.854593053,1.70890156,4.907096863,5.787477493,1.030141967,-0.000009,-0.000023,87.72104645,0.508585292,-0.380165702,12.55267288,2.562999964
684,-,66,69,211,184,27,g/m2/yr,0.211,0.184,0.027,ORNL: NPP_BAZ_575,12.7962085,6,Inceptisols,-5.375,9.283333778,19.10150909,1384.061035,20.79999924,-27.79999924,48.59999847,10.96666622,-20.03333282,12.25,-21.89999962,436,66,17,43.48165131,172,58,170,67,4,25,50,25,0.89,24,94.44,4.86,15,5.1,34,16,27,16,46,1,33,0,0,1,200.6054842,1.308291615,9.154570667,3.680316206,4.747084618,4.883840561,0.956978681,-0.000145,-0.000045,85.84079742,1.125219336,-0.50973831,13.73852229,2.058000088
685,-,66,87,221,159,62,g/m2/yr,0.221,0.159,0.062,ORNL: NPP_BAZ_575,28.0542986,6,Inceptisols,-6.720833302,8.441666603,16.07936478,1569.719849,21.60000038,-30.89999962,52.5,3.800000191,-16.64999962,13.33333302,-25.43333435,537,69,22,37.09558868,199,73,176,100,7,46,44,10,1.37,16,10.94,1.23,11,5.3,9,7,47,6,62,2,17,0,6,2,130.8242438,2.475902803,15.31426844,9.509964538,5.430145741,4.812880516,1.13064466,0.000251,0.00022,86.94299316,3.247297788,-0.164798026,7.086453875,2.510999918
686,-,67,36,208,173,35,g/m2/yr,0.208,0.173,0.035,ORNL: NPP_BAZ_575,16.8269231,6,Spodosols,-0.766666651,7.400000095,21.70088005,911.807251,16.79999924,-17.29999924,34.09999847,10.86666679,-10.9333334,10.86666679,-11.61666679,456,61,20,35.46189499,168,68,168,75,16,27,38,35,0.11,43,496.8,12.82,27,4.6,105,33,57,72,61,2,3,0,0,0,262.0307932,2.728396948,18.85773601,6.795499942,2.566760778,4.576736927,1.00700709,0.000041,0.000088,80.94386292,2.849084449,-0.019661003,8.151326246,3.859999895
