Code,  ID,Reference,location,Latitude,Longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated,fr0-0.2,fr0.2-0.4,fr0.4-0.6,fr0.6-0.8,fr0.8-1,fr1-1.5,fr1.5-2
109,RD13,Dhyani et al. 1990,"Uttar Pradesh, India",30.34,78.03,-999,2,mass,0.04,1.2,no,fine,-999,evergreen,Y,N,EBL plantation / tro,2,1222,1700,"tropical, seas",0.44,1.08,0.58,1.98,0.072207071,0.218687709,0.229418763,0.16346385,0.103116629,0.120198912,0.044039169
110,SG24,Distel & Fernández 1988,"La Pampa Province, Argentina",-38.75,-63.75,-999,Total,number,-999,0.6,no,medium,0,-999,N,N,Grassland,10,977,400,summer maximum,0.29,0.55,0.36,0.98,0.150818767,0.426012308,0.241028852,0.094895273,0.039991659,0.032420293,0.008412244
111,D03a,Dobrowolski et al. 1990,"Utah, USA",41.75,-111.8,1460,Total,number,-999,2.5,yes,medium,0,-999,N,N,open shrubland,9,1186,468,"non-tropical,",0.2,0.72,0.2,0.73,0.5,0.328684847,0.095346975,0.034981982,0.015902577,0.014955237,0.004837534
112,D03b,Dobrowolski et al. 1990,"Utah, USA",41.75,-111.8,1460,Total,number,-999,2.5,yes,medium,0,-999,N,N,Grassland,10,1186,468,"non-tropical,",0.34,1.96,0.36,2.3,0.282273622,0.259448579,0.150605201,0.088032865,0.054716767,0.070926877,0.032339435
113,HW01a,Dumortier 1991,Belgium,51.1,3.67,-999,Total,mass,1.56,1,no,fine,10,-999,Y,Y,Pasture,10,604,790,"non-tropical,",0.04,0.3,0.04,0.33,0.904277856,0.057037202,0.016341092,0.007276106,0.003986674,0.00475751,0.002081854
114,HW01b,Dumortier 1991,Belgium,51.1,3.67,-999,Total,mass,1.2,0.2,no,fine,10,-999,Y,Y,Pasture,10,604,790,"non-tropical,",0.03,0.17,0.06,0.34,0.885310092,0.076281058,0.018734436,0.007508745,0.003803799,0.004142917,0.001625768
115,WB18,Duncan 1941,"North Carolina, USA",35.98,-78.99,-999,Total,number,-999,0.46,no,fine,0,winter-deciduous,N,N,DBL forest / tempera,4,991,1190,"non-tropical,",0.11,0.39,0.15,0.74,0.629654371,0.22964667,0.068776373,0.028328426,0.0142799,0.015222273,0.005755079
116,TD13,Ellenberg et al. 1986,"Lower Saxony, Germany",51.77,9.55,500,2,mass,0.09,0.95,no,medium,2.5,winter-deciduous,N,N,DBL forest / tempera,4,637,1060,"non-tropical,",0.08,0.71,0.11,1.27,0.672513348,0.152958274,0.059654728,0.030793658,0.018505352,0.024276899,0.011729366
117,TG18,Ellenberg et al. 1986,"Lower Saxony, Germany",51.77,9.53,500,Total,mass,1.11,0.6,no,medium,0,-999,Y,N,Pasture,10,637,1060,"non-tropical,",0.02,0.36,0.03,0.57,0.869564611,0.060667473,0.022148485,0.01147453,0.007018408,0.009518438,0.004829558
118,TF01,Farrish 1991,"Louisiana, USA",32.33,-92.57,-999,3,mass,0.92,1,no,medium,10,winter-deciduous,N,Y,DBL forest / tempera,4,1171,1300,"non-tropical,",0.1,0.81,0.16,1.55,0.571833136,0.194565879,0.080932861,0.042285892,0.025374777,0.032948451,0.015617723
119,WB01a,Farrish 1991,"Louisiana, USA",33,-92.68,-999,3,mass,0.81,0.9,no,medium,-999,winter-deciduous,N,N,Mixed forest / tempe,5,1075,1300,"non-tropical,",0.15,0.74,0.19,1.34,0.51931943,0.235062621,0.095451181,0.047406759,0.027131404,0.033113534,0.014540466
120,WB01b,Farrish 1991,"Louisiana, USA",33,-92.68,-999,3,mass,1.01,0.9,no,medium,-999,winter-deciduous,N,N,Mixed forest / tempe,5,1075,1300,"non-tropical,",0.13,0.7,0.16,1.22,0.580160488,0.210366447,0.081142434,0.039886102,0.022837186,0.028060813,0.012481117
121,D19,Fernandez & Caldwell 1975,"Utah, USA",41.08,-113.08,500,Total,length,-999,1.2,no,coarse,0,-999,N,N,open shrubland,9,1175,230,"non-tropical,",0.36,0.88,0.37,1.05,0.149742386,0.405056508,0.241719924,0.101626262,0.044891711,0.038096276,0.010402671
122,D04,Fernández & Paruelo 1988,"Chubut, Argentina",-45.42,-70.33,1350,Total,number,-999,0.5,no,medium,0,-999,N,N,open shrubland,9,903,142,winter maximum,0.24,0.47,0.39,0.91,0.089417936,0.43256326,0.295146392,0.106784374,0.039549613,0.027355582,0.005783989
123,RG01a,Fiala & Herrera 1988,Cuba,22.25,-80.68,25,Total,mass,0.48,0.4,no,coarse,0,-999,N,N,Savanna,7,1481,1250,"tropical, seas",0.07,0.31,0.08,0.5,0.813393874,0.116554935,0.032267762,0.01364678,0.007148724,0.008059832,0.0032858
124,RG01b,Fiala & Herrera 1988,Cuba,21.63,-82.98,2,Total,mass,0.59,0.5,no,coarse,0,-999,N,N,Savanna,7,1489,1480,"tropical, seas",0.07,0.34,0.07,0.5,0.828097433,0.103421115,0.029968023,0.013138801,0.007076356,0.008244486,0.003496054
125,RG01c,Fiala & Herrera 1988,Cuba,22.88,-82.88,150,Total,mass,0.79,0.4,no,medium,0,-999,N,N,Grassland,10,1489,2013,"tropical, seas",0.05,0.32,0.07,0.57,0.813660446,0.106693508,0.032957712,0.015023125,0.008318088,0.009998969,0.004395842
126,TG17,Fiala & Studeny 1988,Czech Republic,49.72,15.97,625,Total,mass,2.76,0.3,no,-999,0,-999,Y,N,Pasture,10,725,775,summer maximum,0.04,0.17,0.04,0.21,0.945720297,0.037793089,0.008392942,0.00322168,0.001588612,0.001682432,0.000639761
127,HW07a,Fiala 1990,Czech Republic,49.67,16,~650,Total,mass,0.67,0.3,no,-999,-999,-999,N,Y,Grassland,10,724,775,summer maximum,0.1,0.27,0.17,0.54,0.602054213,0.29637455,0.062886087,0.019715115,0.00813655,0.006950189,0.002013541
128,HW07b,Fiala 1990,Czech Republic,49.67,16,~650,Total,mass,0.9,0.3,no,-999,-999,-999,N,Y,Grassland,10,724,775,summer maximum,0.03,0.16,0.03,0.21,0.946374031,0.034160042,0.008831386,0.003727337,0.001969506,0.002258168,0.000944048
129,HW07c,Fiala 1990,Czech Republic,49.67,16,~650,Total,mass,1.41,0.3,no,-999,-999,-999,N,Y,Grassland,10,724,775,summer maximum,0.05,0.16,0.05,0.18,0.960327596,0.031345716,0.005031378,0.001591593,0.000682939,0.000618593,0.000194542
130,HW07d,Fiala 1990,Czech Republic,49.67,16,~650,Total,mass,1.54,0.3,no,-999,-999,-999,N,Y,Grassland,10,724,775,summer maximum,0.04,0.15,0.04,0.17,0.963566441,0.027291467,0.005115457,0.001780314,0.000818678,0.000801565,0.000277337
131,TG16e,Fiala 1990,Czech Republic,49.67,16,~650,Total,mass,1.49,0.3,no,-999,0,-999,Y,N,Pasture,10,724,775,summer maximum,0.04,0.19,0.04,0.25,0.929948809,0.045914542,0.011407588,0.004673298,0.002413471,0.002693106,0.001089516
132,TG16f,Fiala 1990,Czech Republic,49.67,16,-999,Total,mass,0.98,0.3,no,-999,0,-999,Y,N,Pasture,10,724,775,summer maximum,0.03,0.23,0.04,0.42,0.882400844,0.064615599,0.020407678,0.009627789,0.005496675,0.006874613,0.003175711
133,TG16g,Fiala 1990,Czech Republic,49.67,16,-999,Total,mass,0.87,0.3,yes,-999,0,-999,Y,N,Pasture,10,724,775,summer maximum,0.03,0.16,0.03,0.21,0.946374031,0.034160042,0.008831386,0.003727337,0.001969506,0.002258168,0.000944048
134,BF04a,Finér et al. 1997,"NW Quebec, Canada",48.5,-79.33,300,10,mass,1.14,0.35,no,fine,5.3,evergreen,N,N,ENL forest / boreal,1,671,823,summer maximum,0.07,0.29,0.09,0.52,0.792561648,0.131860529,0.035830376,0.014845107,0.007645881,0.008444604,0.00335674
135,BF04b,Finér et al. 1997,"NW Quebec, Canada",48.5,-79.33,300,10,mass,0.91,0.38,no,fine,7.5,evergreen,N,N,ENL forest / boreal,1,671,823,summer maximum,0.08,0.32,0.11,0.6,0.738392788,0.165451474,0.046155344,0.019044422,0.009729302,0.010611344,0.004145388
136,BF04c,Finér et al. 1997,"NW Quebec, Canada",48.5,-79.33,300,10,mass,1.01,0.38,no,fine,8,evergreen,N,N,ENL forest / boreal,1,671,823,summer maximum,0.07,0.3,0.08,0.51,0.810993227,0.117133183,0.032811611,0.013976026,0.007358179,0.008342996,0.003423659
137,RF13,Frangi & Lugo 1985,Puerto Rico,18.38,-65.92,750,Total,mass,6.69,1,no,-999,0,evergreen,N,Y,EBL forest / tropica,2,1566,3725,"non-tropical,",0.12,0.79,0.15,1.43,0.592828476,0.189760696,0.076808598,0.039584532,0.023557076,0.030342726,0.014271296
138,D08a,Freckman & Virginia 1989,"New Mexico, USA",32.5,-106.75,-999,Total,mass,-999,13,no,-999,0,-999,N,Y,open shrubland,9,1631,211,summer maximum,1.36,9.82,1.36,9.82,0.054421034,0.084691604,0.089037917,0.08395096,0.075367215,0.14894944,0.103360146
139,D08b,Freckman & Virginia 1989,"New Mexico, USA",32.5,-106.75,-999,Total,mass,-999,7,yes,-999,0,-999,N,Y,open shrubland,9,1631,211,summer maximum,0.38,4.26,0.4,4.85,0.306205956,0.193794044,0.117382011,0.076412033,0.052932209,0.079580983,0.043487486
140,D08c,Freckman & Virginia 1989,"New Mexico, USA",32.5,-106.75,-999,Total,mass,-999,6,yes,coarse,0,-999,N,N,open shrubland,9,1631,211,summer maximum,0.51,4.26,0.51,4.26,0.214413755,0.202122653,0.139586528,0.095119806,0.066652431,0.099155925,0.052337003
141,D08d,Freckman & Virginia 1989,"New Mexico, USA",32.5,-106.75,-999,Total,mass,-999,4,yes,-999,0,-999,N,N,open shrubland,9,1631,211,summer maximum,0.46,3.03,0.46,3.03,0.214002187,0.231638005,0.156650003,0.101281343,0.067240865,0.092870627,0.044826443
142,D08e,Freckman & Virginia 1989,"New Mexico, USA",32.5,-106.75,-999,Total,mass,-999,4,no,-999,0,-999,N,N,open shrubland,9,1631,211,summer maximum,0.43,2.2,0.43,2.2,0.200899113,0.266535621,0.178426763,0.108088803,0.066923654,0.084088598,0.036210029
143,RG29,Friesen et al. 1997,E Colombia,4.5,-71.32,150,Total,length,-999,0.8,no,fine,0,-999,N,N,Grassland,10,890,2240,"tropical, seas",0.16,0.69,0.25,1.33,0.402974923,0.292945964,0.127864371,0.062059349,0.034134685,0.039177896,0.015831521
144,TD16a,Garelkov 1973,Bulgaria,43.1,43.12,1400-16,Total,mass,3.02,1,no,-999,-999,winter-deciduous,N,N,DBL forest / tempera,4,699,1100,"non-tropical,",0.13,0.67,0.14,0.95,0.633778554,0.200231524,0.069583319,0.032253258,0.017769266,0.020972024,0.008934831
145,TD16b,Garelkov 1973,Bulgaria,43.1,43.12,1400-16,Total,mass,4.05,1,no,-999,-999,winter-deciduous,N,N,DBL forest / tempera,4,699,1100,"non-tropical,",0.31,0.85,0.36,1.4,0.21851698,0.338341776,0.194799709,0.097904298,0.052021625,0.055060525,0.019641481
146,RG10,Gaze et al. 1998,"Sahel, Niger",13.25,2.25,-999,Total,length,-999,2.3,no,coarse,0,drought-deciduous,N,N,Savanna,7,2264,585,"tropical, seas",0.22,1.4,0.23,1.61,0.447326388,0.250580048,0.112226309,0.058186119,0.034049623,0.042292466,0.018817582
147,TC02,Gehrmann et al. 1984,"Lower Saxony, Germany",51.95,9.73,-999,2,mass,0.25,0.85,no,coarse,5,evergreen,Y,N,ENL plantation / tem,1,637,781,"non-tropical,",0.25,0.62,0.26,0.76,0.327348868,0.438051061,0.14310657,0.047772989,0.019540948,0.016103876,0.004393238
148,TG22,Gisi  & Oertli 1981,Switzerland,47.42,7.48,785,Total,mass,1.44,0.25,no,fine,0,-999,Y,N,Pasture,10,795,800,"non-tropical,",0.06,0.22,0.09,0.42,0.821461392,0.123917862,0.028693326,0.010800915,0.005200138,0.005328696,0.001939558
149,TC12,Glatzel 1983,SE Austria,47.05,16.45,240,Total,mass,1.1,1.03,yes,medium,2.5,evergreen,Y,N,ENL plantation / tem,1,763,750,summer maximum,0.06,0.36,0.06,0.4,0.866299626,0.08369998,0.022714862,0.009653207,0.005096657,0.005815275,0.002409815
150,TD09,Glatzel 1983,SE Austria,47.05,16.45,240,Total,mass,2.88,1.03,no,medium,2.5,winter-deciduous,N,N,DBL forest / tempera,4,763,750,summer maximum,0.2,0.74,0.22,1.03,0.454676053,0.303061499,0.113696745,0.050031088,0.025787158,0.02769557,0.010425021
151,RE02a,Gower 1987,"La Selva, Costa Rica",10.43,-83.98,650 m,Total,mass,0.36,0.5,no,fine,-999,evergreen,N,N,EBL forest / tropica,2,1313,3800,"non-tropical,",0.09,0.4,0.11,0.69,0.722852055,0.165114787,0.050248093,0.021922009,0.011652547,0.013284662,0.005463534
152,RE02b,Gower 1987,"La Selva, Costa Rica",10.43,-83.98,119 m,Total,mass,0.66,0.5,no,fine,-999,evergreen,N,N,EBL forest / tropica,2,1313,3800,"non-tropical,",0.1,0.39,0.11,0.64,0.730980618,0.165486175,0.0481509,0.020407769,0.010626097,0.011837834,0.004739976
153,RD07,Greenland & Kowal 1960,"Kade, Ghana",6.15,-0.92,167,Total,mass,2.5,1.52,no,fine,0,drought-deciduous,N,N,DBL forest / tropica,4,1388,1650,"tropical, seas",0.07,0.69,0.08,0.88,0.754939859,0.12334267,0.044026816,0.021829138,0.012811983,0.016433897,0.007771538
154,RE11,Greenland & Kowal 1960,"Yangambi, Dem. Rep. Congo",0.75,24.43,-999,Total,mass,2.26,1.52,no,fine,0,evergreen,N,N,EBL forest / tropica,2,1238,1758,"non-tropical,",0.16,0.87,0.17,1.11,0.563415298,0.229528712,0.085635196,0.040543918,0.022498754,0.026607997,0.011305717
155,TG13,Greenwood & Hutchinson 1998,"New South Wales, Australia",-30.63,151.57,1065,Total,length,-999,0.75,no,-999,0,-999,N,N,Grassland,10,1571,793,"non-tropical,",0.21,0.67,0.33,1.28,0.252038268,0.350934019,0.182627956,0.08692811,0.044922693,0.046596675,0.016379405
156,D32a,Groeneveld 1989,"E California, USA",37.42,118.35,-999,Total,length,-999,1.8,no,medium,0,-999,N,N,open shrubland,9,1406,144,winter maximum,0.45,1.54,0.55,2.4,0.116942862,0.229109749,0.19731166,0.135559935,0.088672288,0.113737013,0.048233524
157,D32b,Groeneveld 1989,"E California, USA",37.17,118.28,-999,Total,length,-999,2.7,no,coarse,0,-999,N,N,open shrubland,9,1406,144,winter maximum,0.56,2.2,0.58,2.4,0.099086266,0.217317862,0.201160297,0.14320511,0.0949511,0.121889675,0.051059349
158,RG14a,Groot et al. 1995,"Zinzana, S Mali",13.17,5.92,280,Total,mass,0.28,1.7,yes,coarse,0,-999,N,N,Grassland,10,2311,700,"tropical, seas",0.1,1,0.11,1.4,0.666413138,0.150315082,0.060201251,0.03167106,0.019305383,0.025753618,0.01268315
159,RG14b,Groot et al. 1995,"N'Tarla, S Mali",12.58,5.7,310,Total,mass,0.46,1.8,no,coarse,0,-999,N,N,Grassland,10,2223,900,"tropical, seas",0.08,0.43,0.08,0.44,0.829574103,0.112000973,0.028541967,0.01148617,0.00580978,0.006298605,0.00245294
160,HE03a,Groves & Specht 1965,SE Australia,-39,146.28,-999,Total,mass,3.57,1.52,no,coarse,0,-999,N,N,Closed shrubland,8,1412,1090,winter maximum,0.16,1.1,0.19,1.8,0.516785812,0.209298075,0.092353984,0.049462304,0.030056556,0.039404298,0.018799872
161,HE03b,Groves & Specht 1965,SE Australia,-38.87,146.38,-999,Total,mass,1.39,0.61,no,coarse,0,-999,N,N,Closed shrubland,8,1412,1090,winter maximum,0.09,0.42,0.09,0.62,0.771758898,0.135093349,0.040716855,0.017985107,0.009693218,0.011264545,0.004749916
